#FamilyID	pvalue	Significant at 0.05
N0.HOG0000003	0.07	n
N0.HOG0000004	0.913	n
N0.HOG0000005	0	y
N0.HOG0000007	0	y
N0.HOG0000008	0	y
N0.HOG0000011	0	y
N0.HOG0000014	0.42	n
N0.HOG0000015	0.036	y
N0.HOG0000016	0	y
N0.HOG0000018	0	y
N0.HOG0000019	0.264	n
N0.HOG0000020	0.018	y
N0.HOG0000021	0.533	n
N0.HOG0000024	0	y
N0.HOG0000027	0.001	y
N0.HOG0000028	0	y
N0.HOG0000030	0	y
N0.HOG0000032	0	y
N0.HOG0000034	0.579	n
N0.HOG0000035	0	y
N0.HOG0000037	0.727	n
N0.HOG0000038	0.183	n
N0.HOG0000039	0.439	n
N0.HOG0000040	0.619	n
N0.HOG0000041	0.546	n
N0.HOG0000042	0	y
N0.HOG0000044	0	y
N0.HOG0000045	0	y
N0.HOG0000046	0.173	n
N0.HOG0000047	0	y
N0.HOG0000048	0	y
N0.HOG0000051	0	y
N0.HOG0000052	0.396	n
N0.HOG0000053	0	y
N0.HOG0000056	0	y
N0.HOG0000057	0	y
N0.HOG0000060	0	y
N0.HOG0000061	0	y
N0.HOG0000062	0	y
N0.HOG0000064	0.364	n
N0.HOG0000069	0.378	n
N0.HOG0000070	0	y
N0.HOG0000072	0	y
N0.HOG0000073	0	y
N0.HOG0000075	0	y
N0.HOG0000080	0	y
N0.HOG0000081	0	y
N0.HOG0000082	0.331	n
N0.HOG0000083	0.978	n
N0.HOG0000084	0.416	n
N0.HOG0000085	0.259	n
N0.HOG0000086	0	y
N0.HOG0000087	0	y
N0.HOG0000088	0.001	y
N0.HOG0000089	0.662	n
N0.HOG0000090	0.631	n
N0.HOG0000091	0.447	n
N0.HOG0000092	0	y
N0.HOG0000093	0.465	n
N0.HOG0000097	0	y
N0.HOG0000100	0	y
N0.HOG0000101	0	y
N0.HOG0000111	0	y
N0.HOG0000113	0	y
N0.HOG0000114	0	y
N0.HOG0000115	0	y
N0.HOG0000117	0	y
N0.HOG0000118	0	y
N0.HOG0000122	0	y
N0.HOG0000123	0.001	y
N0.HOG0000124	0.004	y
N0.HOG0000125	0.005	y
N0.HOG0000127	0.996	n
N0.HOG0000128	0	y
N0.HOG0000130	0	y
N0.HOG0000135	0	y
N0.HOG0000137	0.98	n
N0.HOG0000138	0	y
N0.HOG0000139	0	y
N0.HOG0000140	0	y
N0.HOG0000143	0	y
N0.HOG0000147	0.447	n
N0.HOG0000148	0	y
N0.HOG0000150	0.379	n
N0.HOG0000151	0	y
N0.HOG0000158	0	y
N0.HOG0000160	0.835	n
N0.HOG0000161	0.091	n
N0.HOG0000162	0	y
N0.HOG0000164	0	y
N0.HOG0000168	0	y
N0.HOG0000169	0.003	y
N0.HOG0000170	0.999	n
N0.HOG0000171	0	y
N0.HOG0000172	0	y
N0.HOG0000173	0	y
N0.HOG0000177	0.621	n
N0.HOG0000179	0.76	n
N0.HOG0000180	0.568	n
N0.HOG0000186	0	y
N0.HOG0000187	0	y
N0.HOG0000188	0	y
N0.HOG0000190	0.82	n
N0.HOG0000191	0.787	n
N0.HOG0000192	0.678	n
N0.HOG0000193	0.217	n
N0.HOG0000194	0	y
N0.HOG0000196	0	y
N0.HOG0000204	0	y
N0.HOG0000207	0.018	y
N0.HOG0000208	0	y
N0.HOG0000209	0	y
N0.HOG0000211	0.427	n
N0.HOG0000212	0.001	y
N0.HOG0000213	0.647	n
N0.HOG0000214	0.476	n
N0.HOG0000215	0.084	n
N0.HOG0000216	0.705	n
N0.HOG0000218	0	y
N0.HOG0000220	0.001	y
N0.HOG0000221	0.678	n
N0.HOG0000224	0.57	n
N0.HOG0000226	0.949	n
N0.HOG0000227	0.254	n
N0.HOG0000229	0.232	n
N0.HOG0000231	0.698	n
N0.HOG0000232	0.68	n
N0.HOG0000234	0.054	n
N0.HOG0000236	0.627	n
N0.HOG0000237	0.813	n
N0.HOG0000239	0.163	n
N0.HOG0000244	0	y
N0.HOG0000245	0	y
N0.HOG0000246	0.154	n
N0.HOG0000249	0	y
N0.HOG0000253	0	y
N0.HOG0000258	0	y
N0.HOG0000259	0.423	n
N0.HOG0000261	0.367	n
N0.HOG0000262	0.449	n
N0.HOG0000267	0.984	n
N0.HOG0000270	0.746	n
N0.HOG0000271	0	y
N0.HOG0000273	0.95	n
N0.HOG0000279	0.93	n
N0.HOG0000280	0.189	n
N0.HOG0000288	0.762	n
N0.HOG0000289	0	y
N0.HOG0000291	0	y
N0.HOG0000293	0.659	n
N0.HOG0000294	0.781	n
N0.HOG0000295	0.846	n
N0.HOG0000296	0.456	n
N0.HOG0000297	0.001	y
N0.HOG0000298	0.005	y
N0.HOG0000299	0.054	n
N0.HOG0000302	0	y
N0.HOG0000310	0.226	n
N0.HOG0000311	0.184	n
N0.HOG0000314	0	y
N0.HOG0000317	0.052	n
N0.HOG0000318	0.568	n
N0.HOG0000319	0	y
N0.HOG0000320	0.922	n
N0.HOG0000321	0.175	n
N0.HOG0000322	0.999	n
N0.HOG0000323	0.728	n
N0.HOG0000324	0	y
N0.HOG0000335	0.633	n
